date,price
2013-11-06 00:00:00 UTC,260.85
2013-11-07 00:00:00 UTC,295.63
2013-11-08 00:00:00 UTC,332.02
2013-11-09 00:00:00 UTC,358
2013-11-10 00:00:00 UTC,313
2013-11-11 00:00:00 UTC,340.55
2013-11-12 00:00:00 UTC,355.48
2013-11-13 00:00:00 UTC,404.17
2013-11-14 00:00:00 UTC,408.84
2013-11-15 00:00:00 UTC,424.16
2013-11-16 00:00:00 UTC,437.41
2013-11-17 00:00:00 UTC,488.36
2013-11-18 00:00:00 UTC,580.87
2013-11-19 00:00:00 UTC,614.4
2013-11-20 00:00:00 UTC,565.34
2013-11-21 00:00:00 UTC,675.06
2013-11-22 00:00:00 UTC,731.15
2013-11-23 00:00:00 UTC,819.31
2013-11-24 00:00:00 UTC,764.43
2013-11-25 00:00:00 UTC,793.07
2013-11-26 00:00:00 UTC,832.93
2013-11-27 00:00:00 UTC,914.13
2013-11-28 00:00:00 UTC,979.08
2013-11-29 00:00:00 UTC,1101.83
2013-11-30 00:00:00 UTC,1127.45
2013-12-01 00:00:00 UTC,1033.39
2013-12-02 00:00:00 UTC,974.03
2013-12-03 00:00:00 UTC,1078.64
2013-12-04 00:00:00 UTC,1121.48
2013-12-05 00:00:00 UTC,989.04
2013-12-06 00:00:00 UTC,1019.66
2013-12-07 00:00:00 UTC,811.98
2013-12-08 00:00:00 UTC,743.11
2013-12-09 00:00:00 UTC,897.89
2013-12-10 00:00:00 UTC,927.78
2013-12-11 00:00:00 UTC,887.08
2013-12-12 00:00:00 UTC,878.17
2013-12-13 00:00:00 UTC,897.27
2013-12-14 00:00:00 UTC,866.99
2013-12-15 00:00:00 UTC,854.62
2013-12-16 00:00:00 UTC,789.15
2013-12-17 00:00:00 UTC,691.65
2013-12-18 00:00:00 UTC,559.36
2013-12-19 00:00:00 UTC,677.84
2013-12-20 00:00:00 UTC,694.25
2013-12-21 00:00:00 UTC,596.12
2013-12-22 00:00:00 UTC,650.27
2013-12-23 00:00:00 UTC,645.75
2013-12-24 00:00:00 UTC,659.94
2013-12-25 00:00:00 UTC,668.74
2013-12-26 00:00:00 UTC,734.59
2013-12-27 00:00:00 UTC,734.27
2013-12-28 00:00:00 UTC,738.81
2013-12-29 00:00:00 UTC,726.47
2013-12-30 00:00:00 UTC,760.52
2013-12-31 00:00:00 UTC,755.16
2014-01-01 00:00:00 UTC,767.74
2014-01-02 00:00:00 UTC,772.53
2014-01-03 00:00:00 UTC,825.47
2014-01-04 00:00:00 UTC,849.14
2014-01-05 00:00:00 UTC,919.41
2014-01-06 00:00:00 UTC,936.38
2014-01-07 00:00:00 UTC,826.5
2014-01-08 00:00:00 UTC,838.32
2014-01-09 00:00:00 UTC,853.29
2014-01-10 00:00:00 UTC,863.3
2014-01-11 00:00:00 UTC,905.72
2014-01-12 00:00:00 UTC,867.45
2014-01-13 00:00:00 UTC,840.96
2014-01-14 00:00:00 UTC,838.05
2014-01-15 00:00:00 UTC,860.44
2014-01-16 00:00:00 UTC,837.98
2014-01-17 00:00:00 UTC,812.9
2014-01-18 00:00:00 UTC,840
2014-01-19 00:00:00 UTC,838.17
2014-01-20 00:00:00 UTC,869.15
2014-01-21 00:00:00 UTC,869.57
2014-01-22 00:00:00 UTC,865.03
2014-01-23 00:00:00 UTC,846.97
2014-01-24 00:00:00 UTC,808.32
2014-01-25 00:00:00 UTC,804.39
2014-01-26 00:00:00 UTC,853.51
2014-01-27 00:00:00 UTC,891.86
2014-01-28 00:00:00 UTC,777
2014-01-29 00:00:00 UTC,816.85
2014-01-30 00:00:00 UTC,817.17
2014-01-31 00:00:00 UTC,817.93
2014-02-01 00:00:00 UTC,832.52
2014-02-02 00:00:00 UTC,836.41
2014-02-03 00:00:00 UTC,813.38
2014-02-04 00:00:00 UTC,832.36
2014-02-05 00:00:00 UTC,830.92
2014-02-06 00:00:00 UTC,805.08
2014-02-07 00:00:00 UTC,721.32
2014-02-08 00:00:00 UTC,701.61
2014-02-09 00:00:00 UTC,672.07
2014-02-10 00:00:00 UTC,689.65
2014-02-11 00:00:00 UTC,697.76
2014-02-12 00:00:00 UTC,655.26
2014-02-13 00:00:00 UTC,651.91
2014-02-14 00:00:00 UTC,623.57
2014-02-15 00:00:00 UTC,644.1
2014-02-16 00:00:00 UTC,613.85
2014-02-17 00:00:00 UTC,645.14
2014-02-18 00:00:00 UTC,625.01
2014-02-19 00:00:00 UTC,620.99
2014-02-20 00:00:00 UTC,593.89
2014-02-21 00:00:00 UTC,582.75
2014-02-22 00:00:00 UTC,571.06
2014-02-23 00:00:00 UTC,622.97
2014-02-24 00:00:00 UTC,572.39
2014-02-25 00:00:00 UTC,489.31
2014-02-26 00:00:00 UTC,567.25
2014-02-27 00:00:00 UTC,586.28
2014-02-28 00:00:00 UTC,567.2
2014-03-01 00:00:00 UTC,560.11
2014-03-02 00:00:00 UTC,561.35
2014-03-03 00:00:00 UTC,585.79
2014-03-04 00:00:00 UTC,675
